Distance_(pixels),Gray_Value,
542,4.554,0.022846536
543,3.438,0.01724778
544,3.946,0.019796318
545,3.661,0.018366528
546,3.598,0.018050469
547,3.549,0.017804646
548,4.125,0.020694326
549,3.763,0.018878242
550,3.638,0.018251141
551,4.04,0.020267897
552,3.906,0.019595645
553,3.848,0.019304671
554,3.384,0.016976873
555,4.116,0.020649175
556,3.804,0.019083931
557,3.906,0.019595645
558,3.79,0.019013696
559,4.344,0.021793007
560,4,0.020067225
561,4.031,0.020222746
562,4.942,0.024793057
563,3.527,0.017694276
564,3.75,0.018813024
565,4.268,0.021411729
566,3.603,0.018075553
567,4.312,0.021632469
568,3.674,0.018431746
569,3.513,0.017624041
570,4.125,0.020694326
571,4.161,0.020874931
572,3.777,0.018948477
573,3.826,0.019194301
574,4.08,0.02046857
575,4.094,0.020538805
576,3.973,0.019931771
577,3.75,0.018813024
578,4.366,0.021903376
579,3.893,0.019530427
580,4.112,0.020629108
581,3.772,0.018923393
582,3.933,0.019731099
583,4.371,0.02192846
584,3.786,0.018993629
585,4.388,0.022013746
586,4.366,0.021903376
587,4.125,0.020694326
588,3.692,0.018522049
589,3.906,0.019595645
590,4.263,0.021386645
591,3.594,0.018030402
592,3.562,0.017869864
593,3.96,0.019866553
594,3.79,0.019013696
595,4.469,0.022420107
596,3.75,0.018813024
597,4.179,0.020965234
598,3.732,0.018722721
599,4.246,0.02130136
600,3.946,0.019796318
601,4.612,0.023137511
602,4.094,0.020538805
603,4.223,0.021185973
604,4,0.020067225
605,4.75,0.02382983
606,3.933,0.019731099
607,4.415,0.0221492
608,3.746,0.018792956
609,4.424,0.022194351
610,3.929,0.019711032
611,4.522,0.022685998
612,4.027,0.020202679
613,3.964,0.01988662
614,3.893,0.019530427
615,4.598,0.023067275
616,4.237,0.021256208
617,4.455,0.022349872
618,4.491,0.022530477
619,4.21,0.021120755
620,4.451,0.022329805
621,4.661,0.023383334
622,4.549,0.022821452
623,4.103,0.020583956
624,3.857,0.019349822
625,4.402,0.022083981
626,4.036,0.02024783
627,4.25,0.021321427
628,4.04,0.020267897
629,4.496,0.022555561
630,4.277,0.021456881
631,4.071,0.020423418
632,4.013,0.020132444
633,4.71,0.023629158
634,4.634,0.02324788
635,4.576,0.022956906
636,3.991,0.020022074
637,4.388,0.022013746
638,4.112,0.020629108
639,4.143,0.020784629
640,3.951,0.019821402
641,4.438,0.022264586
642,4.134,0.020739477
643,4.491,0.022530477
644,4.509,0.02262078
645,4.384,0.021993679
646,4.147,0.020804696
647,4.147,0.020804696
648,4.629,0.023222796
649,4.683,0.023493704
650,4.942,0.024793057
651,4.121,0.020674259
652,4.951,0.024838208
653,4.21,0.021120755
654,4.54,0.022776301
655,4.335,0.021747855
656,4.268,0.021411729
657,4.393,0.02203883
658,5.062,0.025395073
659,4.741,0.023784679
660,5.027,0.025219485
661,4.366,0.021903376
662,4.201,0.021075603
663,4.629,0.023222796
664,4.442,0.022284654
665,4.241,0.021276276
666,4.469,0.022420107
667,4.286,0.021502032
668,4.188,0.021010385
669,4.379,0.021968595
670,4.308,0.021612402
671,4.58,0.022976973
672,4.661,0.023383334
673,4.768,0.023920132
674,4.241,0.021276276
675,4.509,0.02262078
676,5.339,0.026784729
677,4.384,0.021993679
678,4.317,0.021657553
679,4.692,0.023538855
680,4.862,0.024391712
681,3.991,0.020022074
682,3.96,0.019866553
683,4.438,0.022264586
684,4.67,0.023428485
685,4.964,0.024903426
686,3.911,0.019620729
687,4.728,0.02371946
688,4.964,0.024903426
689,4.464,0.022395023
690,4.406,0.022104049
691,4.5,0.022575628
692,4.317,0.021657553
693,4.379,0.021968595
694,4.621,0.023182662
695,4.728,0.02371946
696,4.647,0.023313099
697,4.469,0.022420107
698,4.915,0.024657603
699,4.527,0.022711082
700,4.482,0.022485326
701,4.375,0.021948528
702,4.688,0.023518788
703,4.621,0.023182662
704,4.799,0.024075653
705,5.027,0.025219485
706,4.464,0.022395023
707,4.616,0.023157578
708,4.652,0.023338183
709,4.54,0.022776301
710,4.772,0.0239402
711,4.594,0.023047208
712,4.875,0.024456931
713,4.397,0.022058897
714,5.027,0.025219485
715,5.058,0.025375006
716,4.938,0.02477299
717,4.817,0.024165956
718,4.451,0.022329805
719,4.844,0.02430141
720,4.942,0.024793057
721,4.75,0.02382983
722,5.125,0.025711132
723,4.402,0.022083981
724,4.473,0.022440175
725,4.464,0.022395023
726,4.317,0.021657553
727,5.616,0.028174384
728,4.835,0.024256258
729,4.25,0.021321427
